assembly.gene_count.bacteria_archea_rrna.16s_rrna	0
assembly.gene_count.bacteria_archea_rrna.23s_rrna	0
assembly.gene_count.bacteria_archea_rrna.5s_rrna	0
assembly.gene_count.bacteria_archea_rrna.rnasep_rrna	0
assembly.gene_count.bacteria_archea_rrna.srp_rrna	0
assembly.gene_count.eukarya_rrna.18s_rrna	0
assembly.gene_count.eukarya_rrna.23s_rrna	0
assembly.gene_count.eukarya_rrna.5_8s_rrna	0
assembly.gene_count.eukarya_rrna.5s_rrna	0
assembly.gene_count.trna.ala	0
assembly.gene_count.trna.arg	0
assembly.gene_count.trna.asn	0
assembly.gene_count.trna.asp	0
assembly.gene_count.trna.cys	0
assembly.gene_count.trna.gln	0
assembly.gene_count.trna.glu	0
assembly.gene_count.trna.gly	0
assembly.gene_count.trna.his	0
assembly.gene_count.trna.ile	0
assembly.gene_count.trna.leu	0
assembly.gene_count.trna.lys	0
assembly.gene_count.trna.met	0
assembly.gene_count.trna.phe	0
assembly.gene_count.trna.pro	0
assembly.gene_count.trna.ser	0
assembly.gene_count.trna.thr	0
assembly.gene_count.trna.trp	0
assembly.gene_count.trna.tyr	0
assembly.gene_count.trna.val	0
assembly.minimum_gene_set.bacteria_archea_rrna	0
assembly.minimum_gene_set.eukarya_rrna	0
assembly.minimum_gene_set.trna	0
assembly.size_metrics.all.count	14
assembly.size_metrics.all.l50	5
assembly.size_metrics.all.n50	777
assembly.size_metrics.all.sum_length	8466
assembly.size_metrics.cds.count	7
assembly.size_metrics.cds.l50	3
assembly.size_metrics.cds.n50	777
assembly.size_metrics.cds.sum_length	4233
assembly.size_metrics.repeat_region.count	0
assembly.size_metrics.repeat_region.l50	0
assembly.size_metrics.repeat_region.n50	0
assembly.size_metrics.repeat_region.sum_length	0
assembly.size_metrics.rrna.count	0
assembly.size_metrics.rrna.l50	0
assembly.size_metrics.rrna.n50	0
assembly.size_metrics.rrna.sum_length	0
assembly.size_metrics.trna.count	0
assembly.size_metrics.trna.l50	0
assembly.size_metrics.trna.n50	0
assembly.size_metrics.trna.sum_length	0
comparison.gene_count.bacteria_archea_rrna.16s_rrna	0
comparison.gene_count.bacteria_archea_rrna.23s_rrna	0
comparison.gene_count.bacteria_archea_rrna.5s_rrna	0
comparison.gene_count.bacteria_archea_rrna.rnasep_rrna	0
comparison.gene_count.bacteria_archea_rrna.srp_rrna	0
comparison.gene_count.eukarya_rrna.18s_rrna	0
comparison.gene_count.eukarya_rrna.23s_rrna	0
comparison.gene_count.eukarya_rrna.5_8s_rrna	0
comparison.gene_count.eukarya_rrna.5s_rrna	0
comparison.gene_count.trna.ala	0
comparison.gene_count.trna.arg	0
comparison.gene_count.trna.asn	0
comparison.gene_count.trna.asp	0
comparison.gene_count.trna.cys	0
comparison.gene_count.trna.gln	0
comparison.gene_count.trna.glu	0
comparison.gene_count.trna.gly	0
comparison.gene_count.trna.his	0
comparison.gene_count.trna.ile	0
comparison.gene_count.trna.leu	0
comparison.gene_count.trna.lys	0
comparison.gene_count.trna.met	0
comparison.gene_count.trna.phe	0
comparison.gene_count.trna.pro	0
comparison.gene_count.trna.ser	0
comparison.gene_count.trna.thr	0
comparison.gene_count.trna.trp	0
comparison.gene_count.trna.tyr	0
comparison.gene_count.trna.val	0
comparison.gene_set_agreement.bacteria_archea_rrna	1
comparison.gene_set_agreement.eukarya_rrna	1
comparison.gene_set_agreement.trna	1
